,issue_id,repo_owner,repo_name,repo_number,resolver_commit_num
0,1116072,AnalyticalGraphicsInc,cesium,370,522
1,631429,AnalyticalGraphicsInc,cesium,342,500
2,5343517,AnalyticalGraphicsInc,cesium,1234,1275
3,5852339,AnalyticalGraphicsInc,cesium,1293,1761
4,3485289,AnalyticalGraphicsInc,cesium,1051,31
5,3561308,AnalyticalGraphicsInc,cesium,1087,717
6,8338784,AnalyticalGraphicsInc,cesium,1591,1013
7,10301325,AnalyticalGraphicsInc,cesium,1928,1014
8,8744101,AnalyticalGraphicsInc,cesium,1633,963
9,169313,AnalyticalGraphicsInc,cesium,274,374
10,169323,AnalyticalGraphicsInc,cesium,264,374
11,25651339,AnalyticalGraphicsInc,cesium,3386,1219
12,797533,AnalyticalGraphicsInc,cesium,344,482
13,169243,AnalyticalGraphicsInc,cesium,255,490
14,1072704,AnalyticalGraphicsInc,cesium,361,402
15,1116033,AnalyticalGraphicsInc,cesium,368,531
16,7303649,AnalyticalGraphicsInc,cesium,636,990
17,169246,AnalyticalGraphicsInc,cesium,242,660
18,1322791,AnalyticalGraphicsInc,cesium,469,2473
19,1117694,AnalyticalGraphicsInc,cesium,349,721
20,1921741,AnalyticalGraphicsInc,cesium,583,721
21,2832290,AnalyticalGraphicsInc,cesium,634,721
22,2101910,AnalyticalGraphicsInc,cesium,659,450
23,1399262,AnalyticalGraphicsInc,cesium,487,574
24,1420933,AnalyticalGraphicsInc,cesium,499,579
25,1340254,AnalyticalGraphicsInc,cesium,474,579
26,1771855,AnalyticalGraphicsInc,cesium,543,711
27,1921114,AnalyticalGraphicsInc,cesium,581,1058
28,2250023,AnalyticalGraphicsInc,cesium,760,781
29,2436868,AnalyticalGraphicsInc,cesium,813,1187
30,2541061,AnalyticalGraphicsInc,cesium,856,3
31,1156100,AnalyticalGraphicsInc,cesium,411,965
32,172899,AnalyticalGraphicsInc,cesium,3,45
33,1902997,AnalyticalGraphicsInc,cesium,574,440
34,2442831,AnalyticalGraphicsInc,cesium,816,1037
35,3288941,AnalyticalGraphicsInc,cesium,1000,659
36,3340208,AnalyticalGraphicsInc,cesium,1016,865
37,3291771,AnalyticalGraphicsInc,cesium,1002,1177
38,3480822,AnalyticalGraphicsInc,cesium,1047,1177
39,2968017,AnalyticalGraphicsInc,cesium,899,1699
40,5053484,AnalyticalGraphicsInc,cesium,1160,736
41,7303659,AnalyticalGraphicsInc,cesium,830,490
42,2986981,AnalyticalGraphicsInc,cesium,907,31
43,1167378,AnalyticalGraphicsInc,cesium,416,1449
44,6274414,AnalyticalGraphicsInc,cesium,1336,823
45,5932410,AnalyticalGraphicsInc,cesium,1305,1888
46,2924779,AnalyticalGraphicsInc,cesium,893,1343
47,3152693,AnalyticalGraphicsInc,cesium,958,654
48,30037899,AnalyticalGraphicsInc,cesium,3827,1
49,3457651,AnalyticalGraphicsInc,cesium,1039,1135
50,3352340,AnalyticalGraphicsInc,cesium,1020,687
51,6616348,AnalyticalGraphicsInc,cesium,1360,1549
52,3485753,AnalyticalGraphicsInc,cesium,1054,1141
53,3559466,AnalyticalGraphicsInc,cesium,1086,1433
54,4829406,AnalyticalGraphicsInc,cesium,1093,1195
55,5130439,AnalyticalGraphicsInc,cesium,1177,746
56,4938411,AnalyticalGraphicsInc,cesium,1127,814
57,4974238,AnalyticalGraphicsInc,cesium,1134,836
58,6930979,AnalyticalGraphicsInc,cesium,1395,906
59,4904316,AnalyticalGraphicsInc,cesium,1123,1222
60,7998387,AnalyticalGraphicsInc,cesium,1548,2201
61,8483827,AnalyticalGraphicsInc,cesium,1603,2268
62,6723763,AnalyticalGraphicsInc,cesium,1374,1586
63,8809893,AnalyticalGraphicsInc,cesium,1652,963
64,6802812,AnalyticalGraphicsInc,cesium,1380,1900
65,8027317,AnalyticalGraphicsInc,cesium,1554,919
66,9253127,AnalyticalGraphicsInc,cesium,1749,1052
67,10299970,AnalyticalGraphicsInc,cesium,1927,439
68,9542594,AnalyticalGraphicsInc,cesium,1813,1000
69,8272666,AnalyticalGraphicsInc,cesium,1578,4173
70,9470846,AnalyticalGraphicsInc,cesium,1797,999
71,8510343,AnalyticalGraphicsInc,cesium,1605,947
72,10278163,AnalyticalGraphicsInc,cesium,1923,1017
73,10657676,AnalyticalGraphicsInc,cesium,2015,1137
74,13539591,AnalyticalGraphicsInc,cesium,2302,3001
75,10646748,AnalyticalGraphicsInc,cesium,2013,2486
76,12038793,AnalyticalGraphicsInc,cesium,2182,1303
77,10871033,AnalyticalGraphicsInc,cesium,2050,1048
78,11356234,AnalyticalGraphicsInc,cesium,2107,1042
79,9568194,AnalyticalGraphicsInc,cesium,1825,2431
80,15049782,AnalyticalGraphicsInc,cesium,2472,3422
81,5458387,AnalyticalGraphicsInc,cesium,1248,2162
82,8004801,AnalyticalGraphicsInc,cesium,1552,2162
83,17644204,AnalyticalGraphicsInc,cesium,2679,486
84,19111636,AnalyticalGraphicsInc,cesium,2821,3573
85,18852691,AnalyticalGraphicsInc,cesium,2803,1190
86,14851758,AnalyticalGraphicsInc,cesium,2442,3281
87,21731056,AnalyticalGraphicsInc,cesium,3031,0
88,17590424,AnalyticalGraphicsInc,cesium,2672,1146
89,19670818,AnalyticalGraphicsInc,cesium,2872,522
90,18809291,AnalyticalGraphicsInc,cesium,2796,1188
91,22563879,AnalyticalGraphicsInc,cesium,3063,0
92,26478917,AnalyticalGraphicsInc,cesium,3457,0
93,1216714,AnalyticalGraphicsInc,cesium,451,3816
94,7748736,AnalyticalGraphicsInc,cesium,1518,3237
95,9717765,AnalyticalGraphicsInc,cesium,1845,3237
96,27872807,AnalyticalGraphicsInc,cesium,3628,2
97,26478917,AnalyticalGraphicsInc,cesium,3457,0
98,30501256,AnalyticalGraphicsInc,cesium,3866,82
99,5008475,AnalyticalGraphicsInc,cesium,1148,0
100,33627809,AnalyticalGraphicsInc,cesium,4065,4
101,38303628,AnalyticalGraphicsInc,cesium,4444,810
102,38862298,AnalyticalGraphicsInc,cesium,4554,0
103,39070264,AnalyticalGraphicsInc,cesium,4598,8
104,25936759,AnalyticalGraphicsInc,cesium,3411,8
105,34682140,AnalyticalGraphicsInc,cesium,4177,1249
106,38167578,AnalyticalGraphicsInc,cesium,4440,1242
107,39100211,AnalyticalGraphicsInc,cesium,4602,808
108,10272964,AnalyticalGraphicsInc,cesium,1921,4047
109,51013073,AnalyticalGraphicsInc,cesium,5463,7
110,37245167,AnalyticalGraphicsInc,cesium,4381,0
111,49526640,AnalyticalGraphicsInc,cesium,5331,1345
112,52693908,AnalyticalGraphicsInc,cesium,5621,1345
113,38853364,AnalyticalGraphicsInc,cesium,4550,0
114,33617208,AnalyticalGraphicsInc,cesium,4056,8
115,5719506,AnalyticalGraphicsInc,cesium,1286,14
116,38342674,AnalyticalGraphicsInc,cesium,4481,803
117,40968095,AnalyticalGraphicsInc,cesium,4740,1285
118,169657,AnalyticalGraphicsInc,cesium,129,0
119,169577,AnalyticalGraphicsInc,cesium,143,0
120,37579024,AnalyticalGraphicsInc,cesium,4409,34
121,38757107,AnalyticalGraphicsInc,cesium,4544,3986
122,39172880,AnalyticalGraphicsInc,cesium,4611,0
